variable,lower,median,upper,distribution,label
number_of_years,10,,10,const,Number of years for turmeric project simulation
discount_rate,7.5,,9.5,posnorm,Discounting factor (%)
CV_value,0.1,,0.4,posnorm,Coefficient of variation for our turmeric intervention (%)
inflation_rate,6,,8,posnorm,Inflation rate (%)
TURMERIC_IMPLEMENTATION_COST,0,,0,const,turmeric implementation cost(NPR/year/ropani)
Seed_turmeric,8000,,12000,posnorm,Turmeric seed required (NPR/year/ropani)
Solar_pannel_cost_turmeric,34000,,40000,posnorm,Solar panel cost for drying turmeric (NPR)
grinding_machine_turmeric,40000,,50000,posnorm,cost of turmeric grinding maching (NPR)
packaging_machine_turmeric,4000,,5000,posnorm,cost of sealing maching (NPR)
storage_drum_turmeric,6750,,7750,posnorm,Cost of storage drum for storing turmericNPR)
TURMERIC_MAINTENANCE_COST,0,,0,const,turmeric maintenance cost (NPR/year/ropani)
Land_preparation_cost_turmeric,1833,,2000,posnorm,land preparation cost (NPR/year/ropani)
FYM_cost_turmeric,4000,,7000,posnorm,organic matter and fertiliser cost for turmeric (NPR/year/ropani)
Weeding_cost_turmeric,1700,,2000,posnorm,Weeding  cost  for  farmer (NPR/year/ropani)
Plantation_cost_turmeric,1700,,2000,posnorm,turmeric implementation cost (NPR/year/ropani)
Mulch_collection_cost_turmeric,3400,,4000,posnorm,mulch collection for farmer(NPR/year/ropani)
TURMERIC_HARVESTING_COST,0,,0,const,turmeric harvesting cost(NPR/year/ropani)
Extracting_turmeric_costs,2683,,3000,posnorm,extracting turmeric  cost  for  farmer (NPR/year/ropani)
Removing_roots_costs,850,,1000,posnorm,removing root  cost  for   farmer (NPR/year/ropani)
sorting_seed_costs,850,,1000,posnorm,sorting  cost  for   farmer  (NPR/year/ropani)
gathering_costs,850,,1000,posnorm,gathering  cost  for   farmer to storage center(NPR/year/ropani)
TURMERIC_POSTHARVESTING_COSTS,0,,0,const,turmeric postharvest cost (NPR/year/ropani)
transporation_costs_turmeric,246,,260,posnorm,transporation  cost  for   farmer to storage center(NPR/year/ropani)
cutting_drying_costs_turmeric,4250,,5000,posnorm,Cutting and Drying  cost  for   farmer (NPR/year/ropani)
boiling_costs,2000,,2500,posnorm,boiling costs of turmeric  (NPR/year/ropani)
grinding_costs_turmeric,7425,,11550,posnorm,Grinding  cost  for   farmer  (NPR/year/ropani)
packaging_costs_turmeric,1238,,1650,posnorm,Packaging cost  for   farmer  (NPR/year/ropani)
